date,ticker,open,high,low,close,volume,currency
2024-01-01,AAPL,150.25,152.8,149.5,151.95,2345000.0,USD
2024-01-02,AAPL,151.95,154.3,151.2,153.75,2567000.0,USD
2024-01-03,AAPL,153.75,155.4,152.8,,2412000.0,USD
2024-01-04,AAPL,154.2,156.75,153.9,156.2,2789000.0,USD
2024-01-05,AAPL,156.2,158.5,155.8,157.95,,USD
2024-01-08,AAPL,157.95,159.2,157.1,158.45,2634000.0,USD
2024-01-09,AAPL,158.45,160.8,158.0,160.25,2945000.0,USD
2024-01-10,AAPL,160.25,161.5,159.8,161.1,2456000.0,USD
2024-01-11,AAPL,161.1,162.75,160.45,162.0,2678000.0,USD
2024-01-12,AAPL,162.0,163.2,161.3,162.85,2534000.0,USD
2024-02-26,AAPL,166.67,166.9,165.59,165.8,,USD
2024-02-27,AAPL,171.78,174.5,170.46,170.55,2287201.0,USD
2024-02-28,AAPL,172.62,172.82,170.09,170.11,2417040.0,USD
2024-02-29,AAPL,177.96,182.31,176.89,177.14,2027035.0,USD
2024-03-01,AAPL,175.5,179.25,174.39,176.89,,USD
2024-03-04,AAPL,177.63,178.37,176.15,177.15,3946609.0,USD
2024-03-05,AAPL,175.53,177.2,175.02,,1756508.0,USD
2024-03-06,AAPL,173.34,173.97,172.69,173.19,3273415.0,USD
2024-03-07,AAPL,171.82,174.44,171.27,171.37,3595505.0,USD
2024-03-08,AAPL,167.07,167.43,165.6,167.29,,USD
2024-03-11,AAPL,163.73,166.32,162.46,163.84,2785160.0,USD
2024-03-12,AAPL,162.0,163.37,161.17,161.2,3861864.0,USD
2024-03-13,AAPL,159.84,160.82,158.19,160.22,3731785.0,USD
2024-03-14,AAPL,162.85,164.22,162.35,163.96,2579111.0,USD
2024-03-15,AAPL,159.96,160.14,157.61,159.3,3550731.0,USD
2024-03-18,AAPL,156.4,157.7,155.93,156.77,3448260.0,USD
2024-03-19,AAPL,153.51,154.71,152.57,153.51,3850770.0,USD
2024-03-20,AAPL,154.56,154.7,154.1,154.29,2374371.0,USD
2024-03-21,AAPL,153.91,154.46,151.64,152.29,2499238.0,USD
2024-03-22,AAPL,152.35,153.58,151.58,153.44,3661196.0,USD
2024-03-25,AAPL,150.52,151.0,148.29,149.42,3509021.0,USD
2024-03-26,AAPL,149.86,151.92,149.6,151.68,3984413.0,USD
2024-03-27,AAPL,149.12,149.67,147.22,149.33,1999046.0,USD
2024-03-28,AAPL,148.28,148.47,146.43,147.42,1728576.0,USD
2024-03-29,AAPL,147.29,148.48,147.06,147.79,3715603.0,USD
2024-04-01,AAPL,148.51,148.9,148.4,148.88,1565318.0,USD
2024-04-02,AAPL,142.84,142.88,142.76,142.76,2900804.0,USD
2024-04-03,AAPL,149.91,151.76,147.77,150.49,2337291.0,USD
2024-04-04,AAPL,155.83,158.85,154.64,156.2,3241093.0,USD
2024-04-05,AAPL,156.39,158.58,154.2,156.97,1610078.0,USD
2024-04-08,AAPL,153.32,154.19,153.17,153.86,2410681.0,USD
2024-04-09,AAPL,151.81,154.16,151.7,153.29,3811987.0,USD
2024-04-10,AAPL,151.4,152.34,149.51,151.42,2325816.0,USD
2024-04-11,AAPL,151.63,151.94,149.44,151.18,1647718.0,USD
2024-04-12,AAPL,154.83,155.64,152.72,153.42,2914447.0,USD
2024-04-15,AAPL,162.72,162.82,161.91,162.72,2490198.0,USD
2024-04-16,AAPL,158.73,160.82,157.9,160.49,3985367.0,USD
2024-04-17,AAPL,159.7,161.07,156.85,158.42,3285954.0,USD
